"","Df","Pillai","approx F","num Df","den Df","Pr(>F)"
"(Intercept)",1,0.254573869970491,2.81749504430897,4,33,0.0408054906028853
"big",1,0.0866722954053446,0.782902383774111,4,33,0.544455379648737
"data",1,0.254658572081816,2.81875277688925,4,33,0.0407399981346494
"analytics",1,0.0306809438127252,0.261129485528323,4,33,0.90072929512848
"technology",1,0.357737672094942,4.59521859924431,4,33,0.00463737932244845
"Residuals",36,NA,NA,NA,NA,NA
