"","Dim 1","Dim 2"
"1",0.0916770040520631,0.0136399363561144
"2",0.85166250221194,0.00270398701159789
"3",0.00187228686251113,0.0980988226324194
"4",0.0307578360242807,0.000823001728329735
"5",0.0245599320043095,0.00164664187194472
"6",0.116551186322296,0.00610192616503271
"7",0.0759225652853297,0.066569202313753
"8",0.0239023845465558,0.00126560992221697
"9",0.108279035522398,0.0015730379391834
"10",3.6609661502175e-05,0.64144222051582
"11",0.0125133028216845,0.0459157639620438
"12",0.0387518340650927,0.0855411868945411
"13",0.00135811970132889,0.0240884762914179
"14",0.00587790309469579,0.000780537217212791
"15",0.0387337566214588,0.182657176795314
"16",0.0396193647436724,0.00234293325681194
"17",0.0637271979861031,0.000713231458292529
"18",0.0469796250105628,0.0310781896662674
"19",0.048959652494571,0.0332507017063896
"20",0.000879040206386367,0.0215699325926296
"21",0.00905756547116178,0.011051995883735
"22",0.0904310701613422,0.000813675105413009
"23",0.0706092907160019,0.000446708384793402
"24",0.021343748706011,0.00666345257287448
"25",0.0262036391789125,1.44081443777503e-05
"26",0.00511853528827376,0.0541510010311963
"27",0.0236821630075651,0.0390165555229151
"28",7.42230235633193e-05,0.0699480679043527
"29",0.00743297325336025,0.0335160191112487
"30",0.0217868514633897,0.0248033469032904
"31",0.019566494291898,0.0518167680590272
"32",0.0030133647684816,0.0117140284629062
"33",7.34009480116588e-06,0.618435738786138
"34",0.00156422990725631,0.0927420036119983
"35",0.0296698631599724,0.00654341930650006
"36",0.00205145834420333,3.83546811662537e-05
"37",9.56039043900546e-05,0.0796555902853553
"38",0.00555364167727935,0.0182007945058771
"39",9.5770542486043e-06,0.0148526368549616
"40",0.0973724142864996,0.0259499365838134
"41",0.00618063867448157,0.0153650300003862
