"","Df","Pillai","approx F","num Df","den Df","Pr(>F)"
"(Intercept)",1,0.736377555864338,11.9713016894082,7,30,3.50325631025084e-07
"big",1,0.068212498516314,0.313740288306228,7,30,0.941995292023437
"data",1,0.277443081761478,1.6456029261701,7,30,0.160948769256549
"analytics",1,0.172761301786751,0.895032571234008,7,30,0.522859368405549
"technology",1,0.422787145929832,3.1391277902962,7,30,0.0130727190829155
"Residuals",36,NA,NA,NA,NA,NA
