"","Df","Pillai","approx F","num Df","den Df","Pr(>F)"
"(Intercept)",1,0.240918791059678,5.55418681675709,2,35,0.00803607923937986
"big",1,0.0174696558456553,0.311154743584125,2,35,0.734606061719048
"data",1,0.155556669232326,3.22371154153227,2,35,0.0518780838094112
"analytics",1,0.0226662606839207,0.405858864799028,2,35,0.669500034852389
"technology",1,0.352555765706636,9.52935492058235,2,35,0.000496639701814856
"Residuals",36,NA,NA,NA,NA,NA
