"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"big",1,0.69380337690264,0.69380337690264,0.407537823721933,0.527262434479712
"data",1,0.135116776391616,0.135116776391616,0.0793671504523242,0.779770034036502
"analytics",1,0.263255129304347,0.263255129304347,0.15463519788458,0.696463774825052
"technology",1,9.5716737951481,9.5716737951481,5.62236973429765,0.0232048353164345
"Residuals",36,61.2873704344484,1.70242695651246,NA,NA
