"","Df","Sum Sq","Mean Sq","F value","Pr(>F)"
"big",1,0.811768444826117,0.811768444826117,1.10373184487049,0.300450151095437
"data",1,3.51368606944134,3.51368606944134,4.77743035275405,0.0354216452431931
"analytics",1,0.541423459025529,0.541423459025529,0.736153661915765,0.396572269807229
"technology",1,6.60720023908836,6.60720023908836,8.98356835104604,0.00491220483091499
"Residuals",36,26.4771412998138,0.735476147217049,NA,NA
