"","Df","Pillai","approx F","num Df","den Df","Pr(>F)"
"(Intercept)",1,0.428170572862932,8.48609671956726,3,34,0.000240843854279358
"big",1,0.059998974590039,0.723391103100709,3,34,0.545038799378201
"data",1,0.293873966194196,4.71668152343398,3,34,0.007391600625856
"analytics",1,0.0545193974447087,0.653515791549231,3,34,0.586287989009298
"technology",1,0.451969128378288,9.34676685846091,3,34,0.000119753080763612
"Residuals",36,NA,NA,NA,NA,NA
